pair_ID	data	sentence_A_En	sentence_B_En	entailment_label_En	relatedness_score_En	corr_entailment_labelAB_En	corr_entailment_labelBA_En	sentence_A_Ja	sentence_B_Ja	entailment_label_Ja	relatedness_score_Ja	image_ID	original_caption	semtag_short	semtag_long
4508								一人の男性と一人の女性が美術館の前に立っていて、掲示板を見ている	カップルが地図を見ている	neutral					
2923								卵が女性により割られてボウルに入れられている	女性が串を棚の上に置いている	neutral					
4896								犬がコンクリートの上で走っていて、青いボールをくわえている	大きな犬は外を歩いていて、カラフルなおもちゃを口にくわえて運んでいる	neutral					
3703								群衆はフットボールの試合を観ている	フットボールをしている人々のグループがフィールドで走っている	neutral					
680								二人の男性が釣り竿を持っていない	二人の男性が釣り竿を持っている	contradiction					
1368								若い女性がギターを弾いている	女の子がギターを弾いている	entailment					
2974								ライフルを撃っている女性は一人もいない	女性がライフルを撃っている	contradiction					
1934								誰かの足の間にあるサッカーボールを蹴っている人は一人もいない	そのサッカー選手は誰かの脚の間にあるボールを蹴っている	contradiction					
4016								筋骨たくましい黒人の男性はダンスをしていて、彼の後ろにいる男性は緑色のビーズ飾りを着けている	縞模様の半ズボンをはいたシャツを着ていない男性は、白いシャツを着てサングラスをかけた男性の近くに立っている	neutral					
2946								女性が魚を調理している	女性が魚を油で炒めていない	neutral					
3222								小さな犬が大きな茶色の雌牛を追いかけている	犬が草地にいる動物の尻尾から歩き去っている	neutral					
681								二人の男性が釣り竿を持っている	二人の男性が水域の近くに立って釣りに使う道具を持っている	neutral					
3496								四人の人が深い雪の中を歩いていて、太陽が沈んでいる	何人かの人々が美しい雪の多い風景の雪の中を歩いている	neutral					
2637								動物園で犬をいじめている猿は一匹もいない	猿が犬の尻尾を引っぱっている	neutral					
279								大きなフルートが男性に吹かれている	男性がフルートを吹いている	entailment					
610								その男の子は青い海の近くで座っている	その男の子は青い海の中を歩いている	contradiction					
3074								いくらかのチーズをピザにかけている男性は一人もいない	男性がいくらかのチーズをピザにかけている	contradiction					
4137								幼い男の子が青い柄の入った水着と黒と黄色の水泳帽を着けていて、頭に青い水泳用ゴーグルをはめている	幼い女の子が水着を着て座っている	neutral					
4182								紫色の帽子をかぶった男性が岩壁を素手でよじ登っていない	若い男性はロッククライミングをしている	neutral					
1745								飛行機は着陸している	飛行機が着陸している	entailment					
4501								二人の人がオートバイに乗っている	ダートバイカーが小道で走行している	neutral					
1161								二人の男性が卓球をしている	二人の男性がピンポンをしている	entailment					
4952								二つの卵をボウルの中で強くかき混ぜ、ワイヤでできた泡立て器を使っている女性は一人もいない	染められた黒いシャツを着た男性がテーブルに向かって座って笑っている	neutral					
2114								男性たちが競争している	何人かのレーサーたちが走路を走っている	neutral					
3385								赤いドレスを着た女性が楽器を演奏している	赤い衣装を着た女性はレンガの壁にもたれかかっていて、楽器を演奏している	neutral					
1953								パン粉のついたポークチョップを調理している女性は一人もいない	女性がパン粉のついたポークチョップを調理している	contradiction					
16								頭の禿げた人がギターを弾いている	ある人はブロンドのふわふわの髪をしていて、ギターを弾いている	neutral					
4531								大人数のグループの人々が立っていて、二人がカウチに座っている	五人の若い大人のグループが屋内でダラダラ過ごしている	neutral					
950								年を取った女性がバラ模様のシャツを着て、二つの新聞をぎこちなく持っている	女性はサイズの大きいサングラスをかけて両手に新聞を持っている	neutral					
2930								女性がジャガイモの皮をむいている	女性が食べ物の皮をむいている	entailment					
4966								三人の児童が丘を走り上がっている	ペットの犬が土手の上に立っていて、池の中にいる別の茶色の犬を見ている	neutral					
4788								オレンジ色のライダーがオートバイの後輪走行をしていない	オレンジ色のライダーがオートバイの後輪走行をしている	contradiction					
2316								ある人がギターを弾いている	ある人がピアノを分解している	neutral					
2670								ある人が野菜を鍋の中でかき混ぜていない	ある人が野菜を鍋の中でかき混ぜている	contradiction					
508								茶色の犬が、ズボンをはいた男性の前にいる別の動物に襲いかかっている	二匹の犬が取っ組み合い、もつれ合っている	neutral					
1514								男性はフルートを吹いている	男性がギターを弾いている	neutral					
416								縞模様のシャツを着た男の子が噴水の後ろでジャンプしている	縞模様のシャツを着た男の子が噴水の前でジャンプしている	neutral					
1982								エビをきれいに洗っている女性は一人もいない	ある人が動物をきれいに洗っている	neutral					
3044								そのギターは子供に弾かれている	子供がそのギターを弾いている	entailment					
3720								黒い犬が砂地の上で茶色の犬と遊んでいる	黒い犬が砂地の上で茶色の犬を襲っている	neutral					
3252								大きくてカラフルな鳥かごのそばに座っている男性は一人もいない	男性が大きくてカラフルな鳥かごのそばに座っている	contradiction					
4936								男性たちはスーツケースを車のトランクに詰め込んでいる	幼い男の子は海の波の中を走っている	neutral					
238								男性たちはしゃべっている	何人かの年を取った女性たちがしゃべっている	neutral					
994								男性が歌を歌ってギターを弾いている	男性がヘッドホンの入っているパッケージを開けている	neutral					
4897								幼い女の子と黄色のシャツを着た女性が都市の噴水のそばで水をはねかけられている	女性がそのトランペットを吹いている	neutral					
4103								写真家たちに囲まれている男性はグレイのスーツと眼鏡を身に着けている	スーツを着た男性が写真家たちに囲まれていない	contradiction					
2981								男性がギターを弾いている	女性がそれらのドラムを叩いている	neutral					
3730								濡れた男の子が、汚れて濡れている草の上で元気よく跳び回っている	濡れた男の子が、汚れて濡れている草の上で跳び回っている	entailment					
1898								男性がトマトを薄切りにしている	トマトを薄切りにしている男性は一人もいない	contradiction					
509								後輪走行でその自転車に乗っている人は一人もいない	黒いジャケットを着た人がバイクに乗って芸をしている	neutral					
4263								男性が屋外の公園のポーチの上でスケートボードの芸をしている	ある人がスケートボードに乗って芸をしている	entailment					
2421								男性は絵を描いている	男性は絵を塗っている	neutral					
4582								二人の子供が泥だらけの水の中で転がっている	二人の男の子が海辺に近い水の中で横たわっている	neutral					
2655								ナイフで箱を開けている男性は一人もいない	男性がギターを弾いている	neutral					
881								戸外にあるアイススケートリンクが人々でいっぱいになっている	たくさんの人がアイススケートパークにいる	neutral					
3946								緑色と白のスポーツ用のユニフォームを着た子供が草地の上を走っている	小さな男の子が緑色のサッカーのユニフォームを着ていて、草地の上で走っている	neutral					
3733								黒い犬は草地を疾走している	黒い犬は草地を走り抜けている	entailment					
4859								男性が自転車に乗ってジャンプを行っている	サイクリストが自転車に乗ってジャンプを行っている	entailment					
944								緑の芝生の上にいる何人かの怒り狂った競争者たちが障害物を飛び越えている馬に怒鳴りつけている	騎手たちがすっかり緑におおわれた野原で馬を競争させている	neutral					
607								カウガールが栗毛の馬に乗って樽のところで曲がっている	栗毛の馬はロデオ競技の赤い樽の近くにいる	neutral					
2523								二人の男性が喧嘩をしている	何人かの男性たちが喧嘩をしている	neutral					
3991								犬がその雪の吹きだまりに沿って歩いている	犬が雪に覆われた海辺で一匹で遊んでいる	neutral					
3938								犬が倒木で作られた橋の上で川を渡っている	倒木で作られた橋の上で川を渡っている犬は一匹もいない	contradiction					
3914								大勢の男性たちはラグビーフィールドで泥で遊んでいる	大勢の男性たちは泥だらけのフィールドでラグビーをしている	neutral					
1237								一人の女性がジャガイモの皮をゆっくり剥いている	そのジャガイモは女性に皮を剥かれている	entailment					
4923								少女は標識を運んでいて、あるグループの人々が彼女の後に続いている	女性が男性の顔をきれいにしている	neutral					
4721								二人の子供が打ち寄せる波の中で遊んでいる	子供がプールの中で飛沫を上げている	neutral					
4248								犬たちが走路で競争している	犬たちが走路で走っている	entailment					
3326								健康そうに見える犬が地面の上に横たわっている	栄養不良に見える犬が後ろ脚で立っていて、跳ぶ準備をしている	neutral					
3130								ギターが女の子に弾かれている	女の子がギターを弾いている	entailment					
814								紫色の帽子をかぶった男性は動画を撮るカメラを操作している	その被写体はカメラを持った男性に観察されている	neutral					
652								サッカーをしている人がボールをゴールに蹴り込んでいる	サッカーボールがゴールネットに転がり込んでいる	neutral					
2903								男性がスクーターに乗っている	フルートを吹いている男性は一人もいない	neutral					
493								いくつかの楽器がバンドに演奏されている	若いトップレスの女性がペイントで覆われている	neutral					
470								犬が風で吹き飛ばされている砂の中にいない	犬が砂だらけのエリアにいて、かき回された砂が空中に飛び散っていて、いくつかの植物がその背後にある	contradiction					
4738								黒と白の犬は野原で走っている	黒と白の犬は屋外で走っている	entailment					
2573								女性がニンニクを薄切りにしている	女性がニンニクを切っている	entailment					
1648								トラが目的もなく歩き回っている	トラが檻の中を歩き回っている	neutral					
3355								婦人が三人の子供の近くに立っている	女性が三人の子供の近くに立っている	entailment					
4379								小さな男の子たちが多くの人の前にある噴水の中で遊んでいる	子供たちが地面から水を噴き出している泉の中で遊んでいる	neutral					
3732								黒い犬がいくらかの丈が高い草の中を歩いている	黒い犬は丈が高い草の中を歩いている	entailment					
1015								ニンジンを薄切りにしている女性は一人もいない	女性がニンジンを薄切りにしている	contradiction					
3055								男性がベッドを整えている	ある人がベッドを整えている	entailment					
3915								大勢の男性たちは泥だらけのフィールドでラグビーをしている	ラグビーが何人かの男性にプレイされている	entailment					
2593								ある人が猿に蹴られている	猿が武術を練習している	neutral					
4741								縁石の上に立っているカップル	一人の男性と一人の女性が縁石の上に立っている	neutral					
3882								湖でフリスビーを取り合って喧嘩をしている犬は一匹もいない	二匹の犬が湖でフリスビーを取り合って喧嘩をしている	contradiction					
1542								カメラのレンズを釘にぶつけている人は一人もいない	男性はカメラで釘を打ちつけている	neutral					
2438								ジェット機が飛んでいる	犬が吠えている	neutral					
3095								サイは草原で草を食べている	その動物は草原で草を食べている	entailment					
2914								男性がそれらのドラムを叩いている	男性がギターを弾いている	neutral					
433								二匹の白い犬が一緒にすばやく走っている	二匹の白い犬が一緒に走っている	entailment					
3321								大きな犬と小さな白い犬がお互いの横を通り過ぎている	大きな犬と小さな白い犬が一緒に遊んでいる	neutral					
2186								女性が緑色の薄切りにトウガラシをかけている	ナイフを持った女性はトウガラシを薄切りにしている	neutral					
57								男性がロールパンを薄切りにしている	男性がトマトを薄切りにしている	neutral					
1897								男性が森の中でゆっくりとトレッキングをしている	男性は森の中でハイキングをしている	neutral					
2715								女性が魚を薄切りにしている	女性がニンニクを切り刻んでいない	neutral					
3871								犬は青いボールをキャッチしている	犬はそのボールを追いかけている	neutral					
2668								野菜を鍋の中で混ぜ合わせている男性は一人もいない	男性が鍋の中で野菜を混ぜ合わせている	contradiction					
4476								男の子が傾斜の急な滑り台を速いスピードで降りている	男の子が黒ずくめの服を着ていて、空気マットの黄色い滑り台を滑り降りている	neutral					
4056								三人の人が野原で四輪のATVを運転している	ATVが三人の人に運転されている	entailment					
1388								男性が危険なやり方でナイフを木に投げている	男性が危険なやり方でナイフを木から抜き取っている	contradiction					
1375								男性は熱烈にギターを弾いている	そのギター奏者は一人の女の子を愛している	neutral					
3183								男性は岩山の上に立っていて、その背後に灰色の雲がある	男性は岩の多い山の上に立っていて、その背後に灰色の雲がある	entailment					
4183								紫色の帽子をかぶった男性が岩壁を素手でよじ登っている	若い男性はロッククライミングをしていない	neutral					
2962								ある人が鍋の中の食べ物を油で炒めている	ある人がスカンクを抱いている	neutral					
3774								鳥が水の中で翼を休めている	緑色の頭を持つ茶色のカモが水の中で翼をはためかせている	neutral					
4644								バイクは奇妙な服を着た女の子に乗られている	女性がペイントとコスチュームの断片を身に着けていて、混雑した街路でバイクに乗っている	neutral					
4886								女性が射撃訓練で撃っている	男性が射撃訓練で撃っている	neutral					
3190								犬が泥の中でボールを追いかけている	犬がボールをキャッチしている	neutral					
129								男性が大急ぎでガレージの中の車に乗り込んでいる	男性が車に乗り込んでいる	entailment					
3227								小さな子供は水の中を歩いて渡っていて、別の人に案内されている	幼い子供がしぶきを上げながら植物に水をやっている	neutral					
32								ある人がピンク色のロープで岩を登っている	一人の男性がロープで崖を登っている	neutral					
2599								ある人がオートバイに乗って芸をしている	ある人がオートバイに乗って芸をしていない	contradiction					
1465								女性が機械を使って縫い物をしている	縫製用の機械を使っている女性は一人もいない	contradiction					
1390								男性が危険なやり方でナイフを木に投げている	手品がマジシャンに演じられている	neutral					
1543								ある人がタマネギを薄切りにしている	ある人がタマネギを切っている	entailment					
2085								男性は床運動をしている	男性が運動をしている	entailment					
70								三人の若い男性が自動販売機の近くで走り、跳び、蹴っている	自動販売機の近くで走り、跳び、蹴っている男子は一人もいない	contradiction					
4503								中西部の男性が他の人々の近くにある街灯柱を背にして立っている	男性が柱に寄りかかっていて、人々に囲まれている	neutral					
4997								ある人が鍋でオクラをゆでている	男性はそれらのドラムを叩いていない	neutral					
1444								いくらかのミルクが猫にむさぼるように飲まれている	猫はミルクをむさぼるように飲んでいる	entailment					
3207								白い鳥の近くにある土地に水が勢いよく引かれている	大きな白い鶴が水場の近くを飛んでいる	neutral					
1379								男性がオートバイに乗っている	オートバイ乗りが男性を轢いている	neutral					
3979								男性が水鉄砲で白い犬の口の中に水を吹きかけている	水鉄砲で白い犬の口の中に水を吹きかけている男性は一人もいない	contradiction					
1319								オウムが話している	そのオウムはマイクの前で沈黙している	contradiction					
758								薄茶色の髪をした若い女性が赤いネックレス、スウェットシャツ、そしてイヤリングを身に着けていて、微笑んでいる	その十代の女の子は赤いビーズを身に着けている	neutral					
1337								窓は男性に磨かれている	窓は男性に掃除されている	entailment					
4437								あるグループの人々がサウンドミキシングテーブルの周りに立っている	あるグループの人々が音響機器を見ていない	neutral					
1645								トラが檻の外側を歩いている	トラが檻の中を歩き回っている	contradiction					
519								二人の女性がキックボクシングの試合でスパーリングをしている	二人の人がキックボクシングをしていて、観客が観ていない	neutral					
3702								フットボール選手のグループがフィールドで走っている	フットボール選手のグループがフィールドでじっと立っている	neutral					
3943								緑色と白のスポーツのユニフォームを着た子供が草地の上で休憩している	緑色と白のスポーツのユニフォームを着た子供が草地の上を走っている	neutral					
4763								四匹の茶色の犬の群れが茶色の草の野原で遊んでいる	四匹の犬が草で覆われたエリアで遊んでいる	entailment					
4699								男性がたそがれどきに、ヘッドライトだけで照らされている、ほとんど汚れていない雪に覆われた道路の上に立っている	ある人が山の尾根の雪の中で立っている	neutral					
4090								黒いラマはその白い犬たちを珍しそうに見ている	白い犬たちはその黒いラマをもの珍しそうに見ている	neutral					
4517								青いシャツを着た男の子がテーブルの上の本の山の近くで自分の手を見ている	青いシャツを着た男の子はテーブルの上の本の山の近くで自分の手を見ている	entailment					
536								孤独な自転車乗りが空中にジャンプしている	自転車乗りが一人で空中にジャンプしている	entailment					
1835								女性がエレキギターを弾いている	女性がエレクトリックのギターを弾いている	entailment					
2106								四人の若い男性がじっと立っていて、車が彼らの後ろで爆発している	男の子たちは燃えている車の前で立っていない	neutral					
990								ヘッドホンを着けた男性がパッケージを開けている	女性が馬に乗っている	neutral					
440								犬は革ひもにつながれていて、水場の近くを歩いている	革ひもにつながれた黒い犬が水場の中で歩いている	neutral					
747								男の子たちのグループが木製の大きな扉の前で静かにしている	男の子たちのグループが木製の大きな扉の前でボール遊びをしている	contradiction					
980								大きくて灰色の犬が口にくわえたボールを運んで草地を走り抜けている	大きくて灰色のボールが走っている犬にぶつかっていて、その犬はいくらかの草を口にくわえて運んでいる	neutral					
4667								黒い犬と黄色の犬がお互いと遊んでいる	二匹の猫が犬小屋の中で後ろ脚で立ち上がって、互いに向かい合っている	neutral					
1658								ヘルメットをかぶった男性がダンスをしている	ヘルメットをかぶった男性はダンスをしている	entailment					
4193								黄色の犬はボトルから水を飲んでいる	黄色い犬が蛇口から水を飲んでいない	neutral					
134								男性はトレーナーとキックボクシングをしている	保護用のボクシンググローブを着けている別の男性を蹴っている空手の練習生は一人もいない	neutral					
4593								灰色の犬が草地でサッカーボールを頭で跳ね返している	灰色の犬が芝生でサッカーボールを頭で跳ね返している	neutral					
501								子供たちのグループが庭で遊んでいて、後ろの方には年を取った男性が立っている	庭にいる男の子たちのグループが遊んでいて、男性が後ろの方に立っている	neutral					
2598								男性がピストルにサイレンサーを取り付けている	銃にサイレンサーを取り付けている男性は一人もいない	neutral					
1885								猿は武術を練習をしていない	猿は武術を練習している	contradiction					
834								その子供は雪の中で滑っている	雪で覆われた丘の下にいる男の子が裸になって、ひざまづいて座っている	neutral					
1916								男の子が釣り竿を垂らしていて魚の前を走っている	男の子が釣り用の竿を垂らしていて魚の前を走っている	entailment					
239								男性がサッカーボールをパンチングしている	男性はボウルの中身を混ぜ合わせている	neutral					
4867								女性が犬の隣にしゃがんでいて、歩道に座っている小さな女の子に微笑みかけている	男性が犬の隣にしゃがんでいて、歩道に座っている小さな女の子に微笑みかけている	neutral					
1208								貧しい男性が蛇とマウスを食物として与えられている	蛇が男性からマウスを餌として与えられている	neutral					
1581								何人かのランナーがレースで競争している	ランナーがトラックを回って競争している	neutral					
3599								父親が娘を押してゴーカートに乗せていて、別の女の子が見ている	二人の幼少の子供が街路でおもちゃの自動車で遊んでいる	neutral					
1433								男性はインタビューを拒否している	白い自動車がその男性に運転されている	neutral					
126								猿はブルドッグにブラシをかけている	ブルドッグがその猿にブラシをかけている	neutral					
1283								ピアノが男性に弾かれている	その劇はピアノを弾いている幸せな男の子についてのものだ	neutral					
1132								男性がパン生地を広げている	パン生地が男性に広げられている	entailment					
1972								タイプしている人は一人もいない	ある人がキーボードでタイプしている	contradiction					
1281								男の子が幸せそうにピアノを弾いている	ピアノが男性に弾かれていない	neutral					
2168								女性がステージから歩き去っている	女性がステージでダンスをしている	neutral					
3475								女性が青いヘルメットを着けていて、駐車場で自転車に乗っている	自転車乗りは街路を疾走している	neutral					
3446								茶色の犬と黒い犬は草地から遠くにいる	小さな黒い犬が小さな茶色の犬を追いかけている	neutral					
1697								ヌードルを煮ている人は一人もいない	女性がヌードルを水の中で煮ている	contradiction					
3306								笑っている女の子は一人もおらず、見ている他の女の子は一人もいない	アジア人の女の子のグループが一緒に立っている	neutral					
2856								馬が男性に乗られている	その人はその馬に乗っている	neutral					
1768								二匹の猫がお互いと喧嘩をしている	猫たちはお互いと遊んでいる	neutral					
3215								大きな都市にいる男性が標識を掲げていて、募金を懇願している	小さな都市にいる男性が慈善活動をしている	neutral					
1652								猿がその犬にブラシをかけている	猿はその犬にブラシをかけている	entailment					
4144								茶色の犬が雪の多い小道を走り抜けている	犬が雪の多い通路で走っている	neutral					
1754								女の子はまぶたの上にアイペンシルを使っている	女の子はまぶたの上にアイペンシルを使っていない	contradiction					
763								男の子が、クライミングのために人工的に造られた壁を登っていて、ロープに連結されている	怖がっている小さな男の子がクライミングウォールの上にいる	neutral					
1547								ある人がタマネギを包んでいる	ある人がタマネギを切っている	neutral					
124								三人の女性がダンスをしている	数人の女性がダンスをしている	entailment					
1367								いくらかの水が猫に飲まれている	トラックが急いで丘を下っている	neutral					
315								ドラッグレースにいる人々が自動車から出ている炎から逃げ出している	群衆は、スタートラインから出発している二台のレーシングカーを見ている	neutral					
2117								レーサーたちが走路を走っている	何人かの男性たちが休息している	neutral					
131								その人はひとかけらのニンニクを細かく薄切りにしている	その人はひとかけらのニンニクを細かく薄切りにしていない	contradiction					
1264								タマネギが男性に切られている	男性がタマネギの薄切りを食べている	neutral					
2652								ギターを弾いている男性は一人もいない	男性がギターを弾いている	contradiction					
738								茶色の犬と黒い犬が草原で走っている	草原で走っている犬は一匹もいない	contradiction					
2426								女性がトマトを薄切りにしている	女性が缶を取っている	neutral					
4276								男の子がビルの前にある石造りの噴水の側面から跳び下りている	縞模様のシャツを着た男の子が噴水の後ろでジャンプしている	neutral					
2925								女性が卵を割ってボウルに入れている	女性が串を棚の上に置いている	neutral					
4447								四人の人が水域の上に架かる橋の上を歩いている	四人の人が水域の上に架かる橋の上で座っている	neutral					
4067								白いラリーカーが泥を空中に跳ね上げていて、走路のカーブに近づいている	白いレース用の車両が水たまりの中を疾走している	neutral					
2503								男性がギターを弾いている	フルートが男性に吹かれている	neutral					
2531								小さな動物が鳴いている	ある人がいくつかのタマネギを薄切りにしている	neutral					
328								女性が青いヘルメットを着けていて、駐車場で自転車に乗っている	女性が青い自転車を停めていて、多くの自転車用ヘルメットを着けている	neutral					
1950								南アフリカの飛行機が青い空を飛んでいない	飛行機が空を飛んでいる	neutral					
3616								女の子が岩から跳び下りていて、別の女の子がその上に立っている	冬用に作られたコートを着た幼い女の子が丸石から海辺の砂浜に跳び下りている	neutral					
3202								大きな白い鶴が水場の近くを飛んでいる	大きくて白い鶴が水場の近くを飛んでいる	entailment					
229								犬が人形を食べている	犬がおもちゃで遊んでいる	neutral					
1443								猫はミルクを皿からなめている	猫はミルクを皿からなめていない	contradiction					
4007								サーファーが深緑色の水を横切って大きな波に乗っている	サーファーが大きな波に乗っている	entailment					
672								男性が自転車の近くに座ってメモを書いている	塗料で覆われた服を着た男性がにぎやかな地域で外に座って何かを書いている	neutral					
3911								バイクに乗っている人が空中を跳んでいて、太陽がバイクのフレームを通して揺らめいている	その人はその自転車に乗って空中を飛んでいる	neutral					
3231								男性が女性にもの珍しそうに見られている	男性と女性がベージュ色の部屋にいて暗い色をしたシャツを着ており、モニターがその後ろにある	neutral					
1074								ある人がトランプの手品をしている	男性がトルティーヤを油で炒めている	neutral					
56								女性と男性が森を一緒に歩いている	女性と男性が森林地域を歩いている	entailment					
1366								トラックが急いで丘を下っている	いくらかの水がむとんちゃくに猫に飲まれている	neutral					
3029								男性が機械の雄牛から落ちている	男性が機械の雄牛に乗っている	contradiction					
1938								男の子は幼くて、海の波の中を走っている	子供が海の波に走って入ったり出たりしている	neutral					
2318								男性がピザを食べている	ピザが男性に食べられている	entailment					
3800								男性たちは山に登っている	一人の男性が岩で出来た壁をよじ登っていて、別の男性がロープを握っている	neutral					
688								そのヘルメットを装った女の子は自転車の上に跨っている	女性が傾斜路で自転車を使って芸をしている	neutral					
2966								婦人は卵をボウルから取り出している	男性は卵を割ってボウルに入れている	neutral					
367								アメリカ人のフットボール選手が赤と白のユニフォームを着ている	フットボール選手が黒い腕章を着けている	neutral					
3413								バイクに乗っている人は一人もいない	黒と赤のユニフォームを着たバイク乗りがダートバイクの上に立っている	neutral					
1169								女性が白タマネギを切っている	女性がタマネギを切っている	entailment					
4918								男性が芝生を刈っている	黒と白の犬が茶色の野原でボロボロのバレーボールで遊んでいる	neutral					
988								男性がヘッドホンの入っているパッケージを開けている	ヘッドホンを着けた男性がパッケージを開けている	neutral					
2843								女性が肉を油で炒めている	女性が肉を油で炒めていない	contradiction					
3861								一人の男性と二人の女性が明るい部屋の中で、ロウソクの付いたテーブルのそばに立っている	そのグループの人々は薄暗い部屋の中で座っている	neutral					
3316								夕日の前でボートの上にいる男性は一人もいない	男性が夕日の前でボートの上にいる	contradiction					
4847								犬が砂地で走っていて、ボールを追いかけている	茶色と白の犬が汚れた野原で汚れたテニスボールに噛みついている	neutral					
778								ある人がピンク色のロープで岩を登っている	立身出世を狙う野心家が、一人の男性をロープで崖に縛り付けている	neutral					
779								幼い男の子が岩でできた壁を登っていない	幼い男の子が岩でできた壁を登っている	contradiction					
2138								ある人がタマネギの皮をむいている	タマネギの皮をむいている人は一人もいない	contradiction					
2739								タマネギを切っている男性は一人もいない	女性がタマネギを薄切りにしている	neutral					
1660								ヘルメットをかぶった男性はダンスをしている	男性がヘルメットをかぶっていて、ダンスをしている	entailment					
1679								何匹かのフェレットが棚から這い降りている	何匹かのフェレットがケージから這い出ている	neutral					
2827								いくらかのネバネバしたものが女性によりボウルから引っぱり出されている	女性がいくらかのネバネバしたものをボウルから引っぱり出している	entailment					
468								革のチャップスと紫色のシャツを着ている男性は何人かの見物人の前に立っている	男性が紫色のシャツと黒革のチャップスを着ていて、カメラに向かってポーズをとっている	neutral					
3891								フットボール選手が、フットボールを運んでいる役員のそばを走り過ぎている	フットボール選手が、転がっているフットボールを通り過ぎて役員を運んでいる	neutral					
1317								男性は一切れのガーリック風味のパンにぞんざいにバターを塗っている	大きな一片のパンが男性によってバターを塗られている、または、大きな一切れのパンが男性によってバターを塗られつつある	neutral					
4562								二匹の犬が岩の多い海辺で遊んでいる	二匹の犬が岩で出来ている海辺で遊んでいる	entailment					
2285								ある人が波の中でジェットスキーに乗っている	波の中でジェットスキーに乗っている人は一人もいない	contradiction					
4575								子供のペアが青と緑で着色された舌を突き出している	二人の幼い男の子が帽子をかぶっていて、彼らの着色された舌を突き出している	neutral					
4515								オレンジ色の半ズボンをはいた一人の男の子が水域の上の岸壁の崖に立っていて、黒い半ズボンをはいた他の男の子が水の中に跳び込んでいる	二人の男の人が崖っぷちに立っていて、一人が水の中に跳び込んでいる	neutral					
4101								写真家が男性たちに囲まれている	スーツを着た男性が写真家たちに囲まれている	neutral					
4228								何人かの人々と車両がほとんど無人の街路にいる	歩行者と自動車が大都市の交通渋滞を通り抜けている	neutral					
2884								男性がプールに跳び込んでいる	男性がプールに潜っている	neutral					
3004								女の子がおもちゃの電話で遊んでいる	男の子がおもちゃの電話で遊んでいる	neutral					
1627								ピアノを弾いている小さな女の子は一人もいない	小さな女の子がピアノを弾いている	contradiction					
82								そのミルクは猫に飲まれている	その猫はいくらかのミルクを飲んでいる	entailment					
3368								女の子がジーンズとピンク色のシャツを着ていて、走っている	ピンク色のシャツを着た幼い女の子は砂漠の木の下で走っている	neutral					
3925								白いセータを着た女性はティーンエイジャーの手にタトゥーを描いていない	白いセータを着た女性はティーンエイジャーの手にタトゥーを描いている	contradiction					
1918								男の子が釣り糸から走り去っている	男の子が釣り竿を垂らしていて魚の前を走っている	neutral					
271								女性がそのバイオリンを弾いている	そのピアノを弾いている男性は一人もいない	neutral					
1720								サッカーの選手がゴールを決めている	サッカー選手たちがサッカーボールをゴールに蹴り込んでいる	neutral					
3502								黄褐色の犬がやぶを走り抜けている	犬は黄褐色で、やぶを走り抜けている	entailment					
3160								女の子がハーフパイプでスケートボードをしている	スケートボーダーがハーフパイプで芸をしている	neutral					
2881								ある人がピアノを弾いている	キーボードがある人に弾かれている	neutral					
2241								男の子がカレンダーを確認している	カレンダーを確認している男の子は一人もいない	contradiction					
4421								黒い服を着ている男性がインラインスケートを履いていて、レールの上で芸を行っている	スケートボーダーが斜面から跳躍している	neutral					
