pair_ID	data	sentence_A_En	sentence_B_En	entailment_label_En	relatedness_score_En	corr_entailment_labelAB_En	corr_entailment_labelBA_En	sentence_A_Ja	sentence_B_Ja	entailment_label_Ja	relatedness_score_Ja	image_ID	original_caption	semtag_short	semtag_long
11	test	A brown dog is attacking another animal in front of the man in pants	A brown dog is helping another animal in front of the man in pants	neutral	3.7			茶色の犬が、ズボンをはいた男性の前にいる別の動物に襲いかかっている	茶色の犬が、ズボンをはいた男性の前にいる別の動物を助けている	contradiction	3.3	2067362863_59577f9d4d.jpg	A brown dog is jumping up at another dog in front of the man in jeans .		
12	train	Two dogs are fighting	Two dogs are wrestling and hugging	neutral	4.0			二匹の犬が喧嘩をしている	二匹の犬が取っ組み合い、もつれ合っている	neutral	3.3	2473737724_355599a263.jpg	Two girls karate fighting	Numerical	Numerical;匹;名詞,接尾,助数詞,*
13	test	Two dogs are wrestling and hugging	There is no dog wrestling and hugging	contradiction	3.3			二匹の犬が取っ組み合い、もつれ合っている	取っ組み合い、もつれ合っている犬は一匹もいない	contradiction	2.3	957682378_46c3b07bcd.jpg	Two dogs are wrestling in a field .	Negation#Numerical	Numerical;匹;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
14	train	A brown dog is attacking another animal in front of the man in pants	Two dogs are fighting	neutral	3.5			茶色の犬が、ズボンをはいた男性の前にいる別の動物に襲いかかっている	二匹の犬が喧嘩をしている	neutral	2.0	2067362863_59577f9d4d.jpg	A brown dog is jumping up at another dog in front of the man in jeans .	Numerical	Numerical;匹;名詞,接尾,助数詞,*
15	test	A brown dog is attacking another animal in front of the man in pants	There is no dog wrestling and hugging	neutral	2.7			茶色の犬が、ズボンをはいた男性の前にいる別の動物に襲いかかっている	取っ組み合い、もつれ合っている犬は一匹もいない	neutral	1.7	2067362863_59577f9d4d.jpg	A brown dog is jumping up at another dog in front of the man in jeans .	Negation#Numerical	Numerical;匹;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
16	test	Two dogs are wrestling and hugging	A brown dog is attacking another animal in front of the tall man in pants	neutral	2.9			二匹の犬が取っ組み合い、もつれ合っている	茶色の犬が、ズボンをはいた背の高い男性の前にいる別の動物に襲いかかっている	neutral	1.7	957682378_46c3b07bcd.jpg	Two dogs are wrestling in a field .	Numerical	Numerical;匹;名詞,接尾,助数詞,*
17	test	Two dogs are wrestling and hugging	A brown dog is helping another animal in front of the man in pants	neutral	2.3			二匹の犬が取っ組み合い、もつれ合っている	茶色の犬が、ズボンをはいた男性の前にいる別の動物を助けている	neutral	1.7	957682378_46c3b07bcd.jpg	Two dogs are wrestling in a field .	Numerical	Numerical;匹;名詞,接尾,助数詞,*
18	train	A brown dog is attacking another animal in front of the man in pants	Two dogs are wrestling and hugging	neutral	3.2			茶色の犬が、ズボンをはいた男性の前にいる別の動物に襲いかかっている	二匹の犬が取っ組み合い、もつれ合っている	neutral	1.7	2067362863_59577f9d4d.jpg	A brown dog is jumping up at another dog in front of the man in jeans .	Numerical	Numerical;匹;名詞,接尾,助数詞,*
19	test	A person in a black jacket is doing tricks on a motorbike	A man in a black jacket is doing tricks on a motorbike	entailment	4.9	neutral	entailment	黒いジャケットを着た人がバイクに乗って芸をしている	黒いジャケットを着た男性がバイクに乗って芸をしている	neutral	4.3	3373243733_9aba7740ed.jpg	A person in a black jacket doing tricks on a motorbike .		
20	test	There is no man in a black jacket doing tricks on a motorbike	A person in a black jacket is doing tricks on a motorbike	contradiction	3.6			バイクに乗って芸をしている黒いジャケットを着た男性は一人もいない	黒いジャケットを着た人がバイクに乗って芸をしている	contradiction	2.7	3373243733_9aba7740ed.jpg	A person in a black jacket doing tricks on a motorbike .	Negation#Numerical	Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
21	test	A person in a black jacket is doing tricks on a motorbike	A person on a black motorbike is doing tricks with a jacket	neutral	3.0			黒いジャケットを着た人がバイクに乗って芸をしている	黒いバイクに乗った人がジャケットで芸をしている	neutral	3.0	3373243733_9aba7740ed.jpg	A person in a black jacket doing tricks on a motorbike .		
22	test	A skilled person is riding a bicycle on one wheel	A person is riding the bicycle on one wheel	entailment	4.3			上手な人が後輪走行で自転車に乗っている	ある人が後輪走行でその自転車に乗っている	entailment	4.7	2403078014_4b1d6f8bde.jpg	A person is riding a unicycle around orange cones .	Quantification#Anaphora	Quantification;ある;連体詞,*,*,*#Anaphora;その;連体詞,*,*,*
23	test	Nobody is riding the bicycle on one wheel	A person is riding the bicycle on one wheel	contradiction	4.1			その自転車で後輪走行している人は一人もいない	ある人がその自転車で後輪走行している	contradiction	3.0	2616508003_fa5ca5780d.jpg	A guy riding a motorcycle on one wheel .	Negation#Numerical#Anaphora#Quantification	Anaphora;その;連体詞,*,*,*#Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*#Quantification;ある;連体詞,*,*,*
24	trial	A person in a black jacket is doing tricks on a motorbike	A skilled person is riding a bicycle on one wheel	neutral	3.4			黒いジャケットを着た人がバイクに乗って芸をしている	上手な人が後輪走行で自転車に乗っている	neutral	1.7	3373243733_9aba7740ed.jpg	A person in a black jacket doing tricks on a motorbike .		
25	train	Nobody is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	neutral	2.8			後輪走行でその自転車に乗っている人は一人もいない	黒いジャケットを着た人がバイクに乗って芸をしている	neutral	1.7	2616508003_fa5ca5780d.jpg	A guy riding a motorcycle on one wheel .	Negation#Numerical#Anaphora	Anaphora;その;連体詞,*,*,*#Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
26	train	A person is riding the bicycle on one wheel	A man in a black jacket is doing tricks on a motorbike	neutral	3.7			ある人が後輪走行でその自転車に乗っている	黒いジャケットを着た男性がバイクに乗って芸をしている	neutral	1.3	1691573772_1adef8e40e.jpg	A woman is riding her bicycle down the street .	Quantification#Anaphora	Quantification;ある;連体詞,*,*,*#Anaphora;その;連体詞,*,*,*
27	test	A person is riding the bicycle on one wheel	There is no man in a black jacket doing tricks on a motorbike	neutral	3.2			ある人が後輪走行でその自転車に乗っている	バイクに乗って芸をしている黒いジャケットを着た男性は一人もいない	neutral	1.3	1691573772_1adef8e40e.jpg	A woman is riding her bicycle down the street .	Numerical#Negation#Quantification#Anaphora	Quantification;ある;連体詞,*,*,*#Negation;ない;助動詞,*,*,*#Numerical;人;名詞,接尾,助数詞,*#Anaphora;その;連体詞,*,*,*
28	train	A person on a black motorbike is doing tricks with a jacket	A person is riding the bicycle on one wheel	neutral	3.4			黒いバイクに乗った人がジャケットで芸をしている	ある人が後輪走行でその自転車に乗っている	neutral	1.3	3373243733_9aba7740ed.jpg	A person in a black jacket doing tricks on a motorbike .	Quantification#Anaphora	Quantification;ある;連体詞,*,*,*#Anaphora;その;連体詞,*,*,*
29	test	A person is riding the bicycle on one wheel	A person in a black jacket is doing tricks on a motorbike	neutral	3.3			ある人が後輪走行でその自転車に乗っている	黒いジャケットを着た人がバイクに乗って芸をしている	neutral	1.7	1691573772_1adef8e40e.jpg	A woman is riding her bicycle down the street .	Quantification#Anaphora	Quantification;ある;連体詞,*,*,*#Anaphora;その;連体詞,*,*,*
30	train	A man with a jersey is dunking the ball at a basketball game	The ball is being dunked by a man with a jersey at a basketball game	entailment	4.9			ジャージを着た男性がバスケットボールの試合でボールをダンクしている	そのボールは、バスケットボールの試合でジャージを着た男性にダンクされている	entailment	4.3	3147217787_ed21cd4990.jpg	A man with jersey 23 is dunking the ball at a basketball game .	Passive#Anaphora	Anaphora;その;連体詞,*,*,*#Passive;れる;動詞,接尾,*,*
31	test	A man with a jersey is dunking the ball at a basketball game	There is no man dunking the ball at a basketball game	contradiction	4.0			ジャージを着た男性がバスケットボールの試合でボールをダンクしている	バスケットボールの試合でボールをダンクしている男性は一人もいない	contradiction	3.3	3147217787_ed21cd4990.jpg	A man with jersey 23 is dunking the ball at a basketball game .	Negation#Numerical	Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
32	test	The game of basketball consists of a ball being dunked by a man with a jersey	A man with a jersey is dunking the ball at a basketball game	entailment	4.2			バスケットボールの試合は、ジャージを着た男性によってダンクされるボールから成り立つ	ジャージを着た男性がバスケットボールの試合でボールをダンクしている	neutral	3.0	2994107810_af56326389.jpg	The basketball player in the orange jersey is being guarded by the player in the blue jersey .	Passive	Passive;れる;動詞,接尾,*,*
33	test	A man who is playing dunks the basketball into the net and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	entailment	4.7			プレイしている男性がバスケットボールをダンクしネットの中に入れ、群衆が後ろの方にいる	その選手はバスケットボールをダンクしネットの中に入れ、群衆が後ろの方にいる	entailment	4.7	3147217787_ed21cd4990.jpg	Player number 23 dunks the basketball into the net with a crowd in the background .	Anaphora	Anaphora;その;連体詞,*,*,*
34	test	The player is missing the basket and a crowd is in background	The player is dunking the basketball into the net and a crowd is in background	contradiction	3.9			その選手はバスケットを外し、群衆が後ろの方にいる	その選手はバスケットボールをダンクしネットの中に入れ、群衆が後ろの方にいる	contradiction	3.3	3195188609_01afbe46e6.jpg	Rugby players running with trees and spectators in the background .	Anaphora	Anaphora;その;連体詞,*,*,*
35	train	A man with a jersey is dunking the ball at a basketball game	A man who is playing dunks the basketball into the net and a crowd is in background	neutral	3.6			ジャージを着た男性がバスケットボールの試合でボールをダンクしている	プレイしている男性がバスケットボールをダンクしネットの中に入れ、群衆が後ろの方にいる	neutral	3.0	3147217787_ed21cd4990.jpg	A man with jersey 23 is dunking the ball at a basketball game .		
36	test	A man with a jersey is dunking the ball at a basketball game	The player is missing the basket and a crowd is in background	neutral	3.5			ジャージを着た男性がバスケットボールの試合でボールをダンクしている	その選手はバスケットを外し、群衆が後ろの方にいる	neutral	2.7	3147217787_ed21cd4990.jpg	A man with jersey 23 is dunking the ball at a basketball game .	Anaphora	Anaphora;その;連体詞,*,*,*
37	test	The player is dunking the basketball into the net and a crowd is in background	The ball is being dunked by a man with a jersey at a basketball game	neutral	4.0			その選手はバスケットボールをダンクしネットの中に入れ、群衆が後ろの方にいる	そのボールは、バスケットボールの試合でジャージを着た男性にダンクされている	neutral	2.7	3147217787_ed21cd4990.jpg	Player number 23 dunks the basketball into the net with a crowd in the background .	Passive#Anaphora	Anaphora;その;連体詞,*,*,*#Passive;れる;動詞,接尾,*,*
38	test	There is no man dunking the ball at a basketball game	The player is dunking the basketball into the net and a crowd is in background	contradiction	3.5			バスケットボールの試合でボールをダンクしている男性は一人もいない	その選手はバスケットボールをダンクしネットの中に入れ、群衆が後ろの方にいる	contradiction	1.7	3147217787_ed21cd4990.jpg	A man with jersey 23 is dunking the ball at a basketball game .	Anaphora#Negation#Numerical	Anaphora;その;連体詞,*,*,*#Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
39	test	The game of basketball consists of a ball being dunked by a man with a jersey	The player is dunking the basketball into the net and a crowd is in background	neutral	3.6			バスケットボールの試合は、ジャージを着た男性によってダンクされるボールから成り立つ	その選手はバスケットボールをダンクしネットの中に入れ、群衆が後ろの方にいる	neutral	1.7	2994107810_af56326389.jpg	The basketball player in the orange jersey is being guarded by the player in the blue jersey .	Passive#Anaphora	Anaphora;その;連体詞,*,*,*#Passive;れる;動詞,接尾,*,*
40	train	The player is dunking the basketball into the net and a crowd is in background	A man with a jersey is dunking the ball at a basketball game	neutral	3.8			その選手はバスケットボールをダンクしネットの中に入れ、群衆が後ろの方にいる	ジャージを着た男性がバスケットボールの試合でボールをダンクしている	neutral	2.7	3147217787_ed21cd4990.jpg	Player number 23 dunks the basketball into the net with a crowd in the background .	Anaphora	Anaphora;その;連体詞,*,*,*
41	test	Two people are kickboxing and spectators are watching	Two people are fighting and spectators are watching	entailment	4.4			二人の人がキックボクシングをしていて、観客が観ている	二人の人が戦っていて、観客が観ている	entailment	4.7	3679341667_936769fd0c.jpg	Two people kick boxing , with others spectating .	Numerical	Numerical;人;名詞,接尾,助数詞,*
42	train	Two people are kickboxing and spectators are not watching	Two people are kickboxing and spectators are watching	contradiction	3.4			二人の人がキックボクシングをしていて、観客が観ていない	二人の人がキックボクシングをしていて、観客が観ている	contradiction	4.0	3679341667_936769fd0c.jpg	Two people kick boxing , with others spectating .	Negation#Numerical	Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
43	test	Two spectators are kickboxing and some people are watching	Two people are kickboxing and spectators are watching	neutral	4.0	entailment	entailment	二人の観客がキックボクシングをしていて、何人かの人々が観ている	二人の人がキックボクシングをしていて、観客が観ている	entailment	4.3	3205336477_037d4b6bd9.jpg	Two men are wrestling while other people are watching	Disjunction#Numerical	Numerical;人;名詞,接尾,助数詞,*#Disjunction;か;助詞,副助詞／並立助詞／終助詞,*,*
44	train	Two young women are sparring in a kickboxing fight	Two women are sparring in a kickboxing match	entailment	4.9			二人の若い女性がキックボクシングの試合でスパーリングをしている	二人の女性がキックボクシングの試合でスパーリングをしている	entailment	4.7	3679341667_936769fd0c.jpg	Two woman spar in a kickboxing match .	Numerical	Numerical;人;名詞,接尾,助数詞,*
45	train	Two young women are not sparring in a kickboxing fight	Two women are sparring in a kickboxing match	neutral	3.9			二人の若い女性がキックボクシングの試合でスパーリングをしていない	二人の女性がキックボクシングの試合でスパーリングをしている	contradiction	3.7	3587092143_c63030ed6d.jpg	Two men are kick boxing in a kick boxing ring .	Negation#Numerical	Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
46	test	Two people are kickboxing and spectators are watching	Two young women are sparring in a kickboxing fight	neutral	3.9			二人の人がキックボクシングをしていて、観客が観ている	二人の若い女性がキックボクシングの試合でスパーリングをしている	neutral	3.0	3679341667_936769fd0c.jpg	Two people kick boxing , with others spectating .	Numerical	Numerical;人;名詞,接尾,助数詞,*
47	train	Two people are kickboxing and spectators are watching	Two young women are not sparring in a kickboxing fight	neutral	3.4			二人の人がキックボクシングをしていて、観客が観ている	二人の若い女性がキックボクシングの試合でスパーリングをしていない	neutral	2.7	3679341667_936769fd0c.jpg	Two people kick boxing , with others spectating .	Negation#Numerical	Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
48	test	Two women are sparring in a kickboxing match	Two people are fighting and spectators are watching	neutral	3.7			二人の女性がキックボクシングの試合でスパーリングをしている	二人の人が戦っていて、観客が観ている	neutral	3.3	3679341667_936769fd0c.jpg	Two woman spar in a kickboxing match .	Numerical	Numerical;人;名詞,接尾,助数詞,*
49	train	Two women are sparring in a kickboxing match	Two people are kickboxing and spectators are not watching	neutral	3.7			二人の女性がキックボクシングの試合でスパーリングをしている	二人の人がキックボクシングをしていて、観客が観ていない	neutral	2.7	3679341667_936769fd0c.jpg	Two woman spar in a kickboxing match .	Negation#Numerical	Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
50	test	Two spectators are kickboxing and some people are watching	Two women are sparring in a kickboxing match	neutral	3.6			二人の観客がキックボクシングをしていて、何人かの人々が観ている	二人の女性がキックボクシングの試合でスパーリングをしている	neutral	3.0	3205336477_037d4b6bd9.jpg	Two men are wrestling while other people are watching	Disjunction#Numerical	Numerical;人;名詞,接尾,助数詞,*#Disjunction;か;助詞,副助詞／並立助詞／終助詞,*,*
51	test	Two people are kickboxing and spectators are watching	Two women are sparring in a kickboxing match	neutral	3.9			二人の人がキックボクシングをしていて、観客が観ている	二人の女性がキックボクシングの試合でスパーリングをしている	neutral	3.3	3679341667_936769fd0c.jpg	Two people kick boxing , with others spectating .	Numerical	Numerical;人;名詞,接尾,助数詞,*
52	test	Kids in red shirts are playing in the leaves	Children in red shirts are playing in the leaves	entailment	4.9			赤いシャツを着た子供たちが木の葉の中の遊んでいる	赤いシャツを着た子供たちが木の葉の中で遊んでいる	entailment	4.7	1956678973_223cb1b847.jpg	Children in red shirts play in the leaves .		
53	test	Children in red shirts are playing in the leaves	Children in red shirts are sleeping in the leaves	neutral	4.0			赤いシャツを着た子供たちが木の葉の中で遊んでいる	赤いシャツを着た子供たちが木の葉の中で眠っている	contradiction	3.7	1956678973_223cb1b847.jpg	Children in red shirts play in the leaves .		
54	test	Children in red shirts are playing in the leaves	Children covered by leaves are playing with red shirts	neutral	3.9			赤いシャツを着た子供たちが木の葉の中の遊んでいる	木の葉で覆われた子供たちが赤いシャツで遊んでいる	neutral	3.0	1956678973_223cb1b847.jpg	Children in red shirts play in the leaves .	Passive	Passive;れる;動詞,接尾,*,*
55	train	Three boys are jumping in the leaves	Three kids are jumping in the leaves	entailment	4.4			三人の男の子たちが木の葉の中で跳ねている	三人の男の子たちが木の葉の中で跳ねている	entailment	5.0	1956678973_223cb1b847.jpg	Three kids jumping in leaves .	Numerical	Numerical;人;名詞,接尾,助数詞,*
56	train	Three kids are sitting in the leaves	Three kids are jumping in the leaves	neutral	3.8			三人の男の子たちが木の葉の中で座っている	三人の男の子たちが木の葉の中で跳ねている	contradiction	4.3	368954110_821ccf005c.jpg	Three young girls are sitting on the lawn	Numerical	Numerical;人;名詞,接尾,助数詞,*
57	test	Three boys are jumping in the leaves	Children in red shirts are playing in the leaves	neutral	4.1			三人の男の子たちが木の葉の中で跳ねている	赤いシャツを着た子供たちが木の葉の中で遊んでいる	neutral	3.3	1956678973_223cb1b847.jpg	Three kids jumping in leaves .	Numerical	Numerical;人;名詞,接尾,助数詞,*
58	train	Children in red shirts are playing in the leaves	Three kids are sitting in the leaves	neutral	3.5			赤いシャツを着た子供たちが木の葉の中で遊んでいる	三人の男の子たちが木の葉の中で座っている	neutral	3.3	1956678973_223cb1b847.jpg	Children in red shirts play in the leaves .	Numerical	Numerical;人;名詞,接尾,助数詞,*
59	test	Kids in red shirts are playing in the leaves	Three kids are jumping in the leaves	neutral	3.9			赤いシャツを着た子供たちが木の葉の中で遊んでいる	三人の男の子たちが木の葉の中で跳ねている	neutral	3.3	1956678973_223cb1b847.jpg	Children in red shirts play in the leaves .	Numerical	Numerical;人;名詞,接尾,助数詞,*
60	test	Children in red shirts are sleeping in the leaves	Three kids are jumping in the leaves	neutral	3.1			赤いシャツを着た子供たちが木の葉の中で眠っている	三人の男の子たちが木の葉の中で跳ねている	neutral	3.3	1956678973_223cb1b847.jpg	Children in red shirts play in the leaves .	Numerical	Numerical;人;名詞,接尾,助数詞,*
61	test	Children covered by leaves are playing with red shirts	Three kids are jumping in the leaves	neutral	3.9			木の葉で覆われた子供たちが赤いシャツで遊んでいる	三人の男の子たちが木の葉の中で跳ねている	neutral	2.7	639865690_d66d480879.jpg	The two boys are playing with fake swords .	Passive#Numerical	Numerical;人;名詞,接尾,助数詞,*#Passive;れる;動詞,接尾,*,*
62	train	Children in red shirts are playing in the leaves	Three kids are jumping in the leaves	neutral	4.0			赤いシャツを着た子供たちが木の葉の中で遊んでいる	三人の男の子たちが木の葉の中で跳ねている	neutral	3.3	1956678973_223cb1b847.jpg	Children in red shirts play in the leaves .	Numerical	Numerical;人;名詞,接尾,助数詞,*
63	test	Two children are lying in the snow and are drawing angels	Two children are lying in the snow and are making snow angels	entailment	4.4			二人の子供たちが雪の中で寝そべってエンジェルを描いている	二人の子供たちが雪の中で寝そべってスノーエンジェルを作っている	neutral	4.0	2301867590_98c0ecb0cb.jpg	Two children lying in the snow making snow angels	Numerical	Numerical;人;名詞,接尾,助数詞,*
64	test	Two children are lying in the snow and are making snow angels	There is no child lying in the snow and making snow angels	contradiction	3.8			二人の子供たちが雪の中で寝そべってスノーエンジェルを作っている	雪の中で寝そべってスノーエンジェルを作っている子供は一人もいない	contradiction	3.3	2301867590_98c0ecb0cb.jpg	Two children lying in the snow making snow angels	Negation#Numerical	Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
65	train	Two angels are making snow on the lying children	Two children are lying in the snow and are making snow angels	neutral	2.9			二人のエンジェルが寝そべっている子供たちの上に雪を作っている	二人の子供たちが雪の中で寝そべってスノーエンジェルを作っている	neutral	2.3	3352531708_a65dd694b1.jpg	Two camels are walking along the beach carrying two girls .	Numerical	Numerical;人;名詞,接尾,助数詞,*
66	test	Two people wearing snowsuits are on the ground making snow angels	Two people in snowsuits are lying in the snow and making snow angels	entailment	4.8			スノースーツを着た二人の人が地面の上にスノーエンジェルを作っている	スノースーツを着た二人の人が雪の中で寝そべってスノーエンジェルを作っている	entailment	3.7	2301867590_98c0ecb0cb.jpg	Two people in snowsuits laying in the snow making snow angels	Numerical	Numerical;人;名詞,接尾,助数詞,*
67	test	Two people in snowsuits are lying in the snow and making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	contradiction	4.1			スノースーツを着た二人の人が雪の中で寝そべってスノーエンジェルを作っている	雪の中で寝そべってスノーエンジェルを作っているスノースーツを着た人は一人もいない	contradiction	3.3	2301867590_98c0ecb0cb.jpg	Two people in snowsuits laying in the snow making snow angels	Negation#Numerical	Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
68	test	Two children are lying in the snow and are making snow angels	Two people wearing snowsuits are on the ground making snow angels	neutral	4.6			二人の子供たちが雪の中で寝そべってスノーエンジェルを作っている	スノースーツを着た二人の人が地面の上にスノーエンジェルを作っている	neutral	3.7	2301867590_98c0ecb0cb.jpg	Two children lying in the snow making snow angels	Numerical	Numerical;人;名詞,接尾,助数詞,*
69	test	Two children are lying in the snow and are making snow angels	Nobody in snowsuits is lying in the snow and making snow angels	contradiction	3.6			二人の子供たちが雪の中で寝そべってスノーエンジェルを作っている	雪の中で寝そべってスノーエンジェルを作っているスノースーツを着た人は一人もいない	neutral	2.7	2301867590_98c0ecb0cb.jpg	Two children lying in the snow making snow angels	Negation#Numerical	Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
70	train	Two children are lying in the snow and are drawing angels	Two people in snowsuits are lying in the snow and making snow angels	neutral	4.1			二人の子供たちが雪の中で寝そべってエンジェルを描いている	スノースーツを着た二人の人が雪の中で寝そべってスノーエンジェルを作っている	neutral	3.0	2301867590_98c0ecb0cb.jpg	Two children lying in the snow making snow angels	Numerical	Numerical;人;名詞,接尾,助数詞,*
71	test	There is no child lying in the snow and making snow angels	Two people in snowsuits are lying in the snow and making snow angels	neutral	3.3			雪の中で寝そべってスノーエンジェルを作っている子供は一人もいない	スノースーツを着た二人の人が雪の中で寝そべってスノーエンジェルを作っている	neutral	3.0	2301867590_98c0ecb0cb.jpg	Two children lying in the snow making snow angels	Negation#Numerical	Numerical;人;名詞,接尾,助数詞,*#Negation;ない;助動詞,*,*,*
72	train	Two people in snowsuits are lying in the snow and making snow angels	Two angels are making snow on the lying children	neutral	2.5			スノースーツを着た二人の人が雪の中で寝そべってスノーエンジェルを作っている	二人のエンジェルが寝そべっている子供たちの上に雪を作っている	neutral	2.0	2301867590_98c0ecb0cb.jpg	Two people in snowsuits laying in the snow making snow angels	Numerical	Numerical;人;名詞,接尾,助数詞,*
73	train	Two children are lying in the snow and are making snow angels	Two people in snowsuits are lying in the snow and making snow angels	neutral	4.2			二人の子供たちが雪の中で寝そべってスノーエンジェルを作っている	スノースーツを着た二人の人が雪の中で寝そべってスノーエンジェルを作っている	entailment	4.0	2301867590_98c0ecb0cb.jpg	Two children lying in the snow making snow angels	Numerical	Numerical;人;名詞,接尾,助数詞,*
