pair_ID	case_particles	rephrase_type	sentence_A_Ja	sentence_B_Ja	sentence_A_Ja_origin	entailment_label_origin	relatedness_score_Ja_origin	entailment_label_Ja	entailment_label_Ja1	entailment_label_Ja2	entailment_label_Ja3	relatedness_score_Ja	relatedness_score_Ja1	relatedness_score_Ja2	relatedness_score_Ja3	naturalness_Ja1	naturalness_Ja2	naturalness_Ja3
6247_ni_c	ni	c	茶色の犬に空中が跳んでいる	栄養不良に見える犬が後ろ脚で立っていて、跳ぶ準備をしている	茶色の犬が空中に跳んでいる	neutral	2	neutral	neutral	neutral	contradiction	2.0	2.0	2.0	2.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
3139_wo_d	wo	d	その猿武術の訓練受けている	猿は武術を練習している	その猿は武術の訓練を受けている	neutral	3.5	entailment	entailment	entailment	entailment	4.7	5.0	4.0	5.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
2559_wo_d	wo	d	男性ギター弾いている	ある人がギターをかき鳴らしている	男性がギターを弾いている	neutral	3.5	neutral	neutral	neutral	entailment	4.0	4.0	4.0	4.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
3813_wo_o	wo	o	緑色のトウガラシを女性が薄切りにしている	緑色のトウガラシを薄切りにしている女性は一人もいない	女性が緑色のトウガラシを薄切りにしている	contradiction	4	contradiction	contradiction	contradiction	contradiction	4.0	4.0	4.0	4.0			
9611_de_d	de	d	犬片脚立っていて、サッカーボールを待っている	ボールに跳びついている黒と白の犬は一匹もいない	犬が片脚で立っていて、サッカーボールを待っている	neutral	2	neutral	neutral	neutral	contradiction	2.7	3.0	2.0	3.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
3597_wo_d	wo	d	男性床運動している	運動をしている男性がまごついている	男性は床運動をしている	neutral	2.5	neutral	neutral	neutral	neutral	2.3	3.0	1.0	3.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
3403_wo_c	wo	c	男性をトルティーヤが折りたたんでいる	男性がトルティーヤを開いている	男性がトルティーヤを折りたたんでいる	contradiction	2.5	neutral	neutral	neutral	contradiction	3.3	3.0	3.0	4.0	文Ａの助詞が不自然。	文Aが不自然	
2256_wo_c	wo	c	男性をギターがしまい込んでいる	男性がギターを弾いている	男性がギターをしまい込んでいる	contradiction	3	contradiction	contradiction	neutral	contradiction	3.0	3.0	2.0	4.0		文Aが不自然	
8898_ni_o	ni	o	オートバイに二人の人が乗っている	バイク乗りが小道で走行している	二人の人がオートバイに乗っている	neutral	3	neutral	neutral	neutral	neutral	3.0	3.0	3.0	3.0			
3055_ni_o	ni	o	鍋に男性がオイルを注ぎ込んでいる	オイルが男性によりフライパンに注ぎ込まれている	男性が鍋にオイルを注ぎ込んでいる	neutral	3.5	neutral	neutral	neutral	neutral	3.7	4.0	3.0	4.0			
9608_de_c	de	c	犬で片脚が立っていて、ボールを待っている	黒と白の犬がボールに跳びついている	犬が片脚で立っていて、ボールを待っている	neutral	2.3	neutral	neutral	neutral	neutral	2.7	3.0	2.0	3.0		文Aが不自然	
4158_ni_c	ni	c	そのピアノに男性が弾かれている	男性が木管楽器を演奏している	そのピアノは男性に弾かれている	neutral	2.5	neutral	neutral	neutral	neutral	2.7	3.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
3399_wo_c	wo	c	女性をボウルの中の卵がかき混ぜている	誰かが卵を割っている	女性はボウルの中の卵をかき混ぜている	neutral	2.5	neutral	neutral	neutral	neutral	2.0	3.0	1.0	2.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
92_ni_o	ni	o	空中に孤独な自転車乗りがジャンプしている	男性が空っぽのスイミングプールの中に跳び込んでいる	孤独な自転車乗りが空中にジャンプしている	neutral	1.7	neutral	neutral	neutral	neutral	2.0	2.0	2.0	2.0			
1893_wo_o	wo	o	その男性をギター奏者は情熱的に愛している	ある人が歌いながらギターを弾いている	ギター奏者はその男性を情熱的に愛している	neutral	2	neutral	neutral	neutral	neutral	2.0	2.0	2.0	2.0		文Aが不自然	
8615_ni_d	ni	d	灰色のあごひげを生やした年を取った男性バイク乗っている	灰色をしたあごひげを生やした年を取った男性がバイクに乗っている	灰色のあごひげを生やした年を取った男性がバイクに乗っている	entailment	4.7	entailment	entailment	entailment	entailment	5.0	5.0	5.0	5.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
412_wo_o	wo	o	雪の積もった道路を二人の男性が歩くのを休んでいる	二人の男性が雪の積もった道路を歩いている	二人の男性が雪の積もった道路を歩くのを休んでいる	contradiction	3.3	neutral	contradiction	neutral	entailment	4.3	4.0	4.0	5.0			文Aが不自然
8403_de_d	de	d	あるバンドの頭の禿げた男性スポットライトの中楽器を演奏している	男性がドラマーの隣でギターを弾いている	あるバンドの頭の禿げた男性がスポットライトの中で楽器を演奏している	neutral	2.3	neutral	neutral	neutral	neutral	2.3	3.0	2.0	2.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
4672_ni_c	ni	c	男性に木片が穴を開けている	男性が木片で穴を開けている	男性が木片に穴を開けている	neutral	3	neutral	neutral	neutral	neutral	2.7	3.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
6551_ni_c	ni	c	幼い子供に何本かの木の前が立っている	幼少の男の子が森の中で座っている	幼い子供が何本かの木の前に立っている	neutral	3	neutral	neutral	neutral	neutral	2.7	3.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	
4935_wo_c	wo	c	陸軍将校を新兵がどやしつけている	陸軍将校は新兵を怒鳴りつけている	陸軍将校は新兵をどやしつけている	entailment	4.7	neutral	neutral	neutral	contradiction	3.0	3.0	2.0	4.0			
2872_ni_d	ni	d	男性機械の雄牛乗っている	ある人が機械の雄牛に乗っている	男性が機械の雄牛に乗っている	entailment	4	entailment	neutral	entailment	entailment	4.0	4.0	4.0	4.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
5729_wo_o	wo	o	干し草を雌牛が食べている	雌牛が草を食べている	雌牛が干し草を食べている	entailment	4.7	entailment	entailment	entailment	entailment	4.3	4.0	4.0	5.0		文Aが不自然	
92_ni_c	ni	c	孤独な自転車乗りに空中がジャンプしている	男性が空っぽのスイミングプールの中に跳び込んでいる	孤独な自転車乗りが空中にジャンプしている	neutral	1.7	neutral	neutral	neutral	neutral	1.7	2.0	1.0	2.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
7560_ni_d	ni	d	小さい男の子顔微笑を浮かべて緑色のトンネルの中で座っている	縞模様のシャツを着た小さな男の子が緑色のチューブから滑り出てきている	小さい男の子が顔に微笑を浮かべて緑色のトンネルの中で座っている	neutral	2.3	neutral	neutral	neutral	contradiction	2.0	2.0	2.0	2.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
9440_de_d	de	d	青いシャツとハイヒールを身に着けている女性歩道男性の隣に立っている	青いシャツとハイヒールを身に着けている女性が歩道でその男性の隣に立っている	青いシャツとハイヒールを身に着けている女性が歩道で男性の隣に立っている	entailment	5	entailment	entailment	neutral	entailment	5.0	5.0	5.0	5.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
600_wo_o	wo	o	赤いビーズをその十代の女の子は身に着けている	十代の女の子が赤いビーズを身に着けている	その十代の女の子は赤いビーズを身に着けている	entailment	4.3	entailment	entailment	entailment	entailment	5.0	5.0	5.0	5.0		文Aが不自然	
8088_de_o	de	o	茶色の野原で破損したバレーボールで黒と白の犬が遊んでいる	黒と白の犬が茶色の野原で破れたバレーボールで遊んでいる	黒と白の犬が茶色の野原で破損したバレーボールで遊んでいる	entailment	4.3	entailment	entailment	entailment	entailment	5.0	5.0	5.0	5.0			
5339_ni_d	ni	d	男性それらのソーセージ味付けをしていない	男性はそれらのソーセージに味付けをしている	男性はそれらのソーセージに味付けをしていない	contradiction	4	contradiction	contradiction	contradiction	contradiction	4.0	4.0	4.0	4.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
7992_de_o	de	o	プールの中で水着を着た子供たちが遊んでいる	水着を着た子供たちが水の中で遊んでいる	水着を着た子供たちがプールの中で遊んでいる	entailment	4.3	entailment	entailment	entailment	entailment	4.3	4.0	4.0	5.0			
6841_de_o	de	o	街路で二人の幼少の子供がおもちゃの自動車で遊んでいる	二人の子供は幼少で、街路でおもちゃの自動車で遊んでいる	二人の幼少の子供が街路でおもちゃの自動車で遊んでいる	entailment	5	entailment	entailment	entailment	entailment	5.0	5.0	5.0	5.0			
7024_de_o	de	o	プレイングハウスの中で二人の女の子がジャンプしている	明るい色の服を着た子供が両腕を外に広げて立っている	二人の女の子がプレイングハウスの中でジャンプしている	neutral	1.3	neutral	neutral	neutral	contradiction	1.7	2.0	1.0	2.0			
1539_wo_c	wo	c	猫をキーボードが弾いている	キーボードを弾いている猫は一匹もいない	猫がキーボードを弾いている	contradiction	4	neutral	contradiction	neutral	neutral	3.3	4.0	2.0	4.0		文Aが不自然	文Aが不自然
7325_wo_d	wo	d	三人の男性遠方の大きな緑の丘見つめている	三人の男性が遠方の大きな緑の丘を見つめていない	三人の男性が遠方の大きな緑の丘を見つめている	contradiction	4	contradiction	contradiction	contradiction	contradiction	4.0	4.0	4.0	4.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
1286_wo_d	wo	d	男性ダンスしている	男性が外を歩いている	男性がダンスをしている	neutral	2.5	neutral	neutral	neutral	contradiction	2.3	3.0	2.0	2.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
481_wo_o	wo	o	水鉄砲を笑っている子供が持っており、水を吹きかけられている	子供が水鉄砲を持っている	笑っている子供が水鉄砲を持っており、水を吹きかけられている	entailment	3.3	entailment	entailment	entailment	entailment	3.7	4.0	3.0	4.0			
2335_ni_c	ni	c	ニンジンに女性が薄切りにされている	女性がニンジンを薄切りにしている	ニンジンが女性に薄切りにされている	entailment	5	neutral	neutral	neutral	contradiction	3.0	3.0	2.0	4.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
8615_ni_c	ni	c	灰色のあごひげを生やした年を取った男性にバイクが乗っている	灰色をしたあごひげを生やした年を取った男性がバイクに乗っている	灰色のあごひげを生やした年を取った男性がバイクに乗っている	entailment	4.7	neutral	neutral	neutral	contradiction	3.3	4.0	2.0	4.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
8984_de_o	de	o	砂丘でビキニを着た女の子が遊んでいる	ビキニを着た女の子が砂地で遊んでいる	ビキニを着た女の子が砂丘で遊んでいる	entailment	4	entailment	entailment	entailment	entailment	4.3	4.0	4.0	5.0			
7928_ni_c	ni	c	ピンク色のジャケットを着た人にフィールドが走り出ている	ピンク色のジャケットを着た人がフィールドに走り出ていない	ピンク色のジャケットを着た人がフィールドに走り出ている	contradiction	4	neutral	neutral	neutral	neutral	2.7	4.0	2.0	2.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
9785_ni_d	ni	d	男性草地の上座っていて、水のボトルから飲んでいる	子供は屋外で嬉しそうにおもちゃで遊んでいる	男性が草地の上に座っていて、水のボトルから飲んでいる	neutral	1	neutral	neutral	neutral	neutral	1.0	1.0	1.0	1.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
5817_de_c	de	c	女性で火の近くがダンスをしている	女性が暖炉の近くでダンスをしている	女性が火の近くでダンスをしている	neutral	3.7	neutral	neutral	neutral	neutral	3.0	4.0	2.0	3.0		文Aが不自然	文Aが不自然
9813_wo_c	wo	c	女の子をＴシャツが着ていて、口を開けている	茶色と白の犬が野球のボールを口にくわえている	女の子がＴシャツを着ていて、口を開けている	neutral	1	neutral	neutral	neutral	neutral	1.0	1.0	1.0	1.0		文Aが不自然	文Aが不自然
7071_de_c	de	c	ローラーブレーダーで斜面が芸を行っていない	インラインスケートをはいた男性がスケート場でスケートをしている	ローラーブレーダーは斜面で芸を行っていない	neutral	2	neutral	neutral	neutral	neutral	2.0	2.0	2.0	2.0	文Ａの助詞が不自然。	文Aが不自然	
7409_wo_c	wo	c	アメリカ人のフットボール選手を赤と白のユニフォームが着ている	フットボール選手が黒い腕章を外している	アメリカ人のフットボール選手は赤と白のユニフォームを着ている	neutral	2.3	neutral	neutral	neutral	neutral	2.3	3.0	2.0	2.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
6837_de_c	de	c	子供たちで砂浜がお互いを追いかけている	地面の上を走っていて小さな女の子と遊んでいる小さな男の子は一人もいない	子供たちは砂浜でお互いを追いかけている	neutral	2	neutral	neutral	neutral	neutral	1.3	2.0	1.0	1.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
3612_ni_c	ni	c	自転車に男性が乗られている	猿がバイクに乗っている	自転車が男性に乗られている	neutral	2.5	neutral	neutral	neutral	neutral	1.3	2.0	1.0	1.0	文Ａの助詞が不自然。	文Aが不自然	
9128_wo_c	wo	c	インドの服を着て手にヘンナを着けている女の子を書類作成がしている	男性がカラフルなシャツとたくさんの宝石を身に着けている	インドの服を着て手にヘンナを着けている女の子が書類作成をしている	neutral	1	neutral	neutral	neutral	neutral	1.0	1.0	1.0	1.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
2237_wo_d	wo	d	その男の子一人の男の子水の中に叩き込んでいる	男の子がその犬に水の中に叩き込まれている	その男の子は一人の男の子を水の中に叩き込んでいる	neutral	3.5	neutral	neutral	neutral	neutral	2.3	3.0	2.0	2.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
481_wo_c	wo	c	笑っている子供を水鉄砲が持っており、水を吹きかけられている	子供が水鉄砲を持っている	笑っている子供が水鉄砲を持っており、水を吹きかけられている	entailment	3.3	neutral	neutral	neutral	contradiction	2.3	3.0	2.0	2.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
5344_ni_c	ni	c	男性にボウルの中の水が調味料を加えている	男性はそれらのソーセージに味付けをしている	男性はボウルの中の水に調味料を加えている	neutral	2.7	neutral	neutral	neutral	neutral	2.3	3.0	2.0	2.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
8026_de_d	de	d	犬緑の草地の上眠っている	茶色と白の犬が草地の上で遊んでいる	犬が緑の草地の上で眠っている	neutral	2.7	neutral	neutral	neutral	contradiction	2.7	3.0	2.0	3.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
5837_ni_o	ni	o	男性にオートバイが乗られている	男性が崖からダイビングしている	オートバイが男性に乗られている	neutral	1.3	neutral	neutral	neutral	contradiction	1.7	2.0	2.0	1.0		文Aが不自然	
5343_ni_o	ni	o	それらのソーセージに男性は味付けをしている	男性はボウルの中の水／いくらかの水に調味料を加えていない	男性はそれらのソーセージに味付けをしている	neutral	1.7	neutral	neutral	neutral	neutral	2.3	3.0	2.0	2.0			文Aが不自然　文Bが不自然
6364_de_c	de	c	子供で屋外が嬉しそうにおもちゃで遊んでいる	子供は屋外でおもちゃで遊んでいる	子供は屋外で嬉しそうにおもちゃで遊んでいる	entailment	4.7	neutral	neutral	neutral	neutral	3.0	4.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
2901_ni_d	ni	d	木男性斧で切り倒されている	男性が木を斧で切っている	木が男性に斧で切り倒されている	entailment	3.5	neutral	neutral	neutral	contradiction	3.7	5.0	3.0	3.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
4215_wo_c	wo	c	女性をキツネザルが撫でている	ある人が動物の背中を掻いている	女性がキツネザルを撫でている	neutral	2.5	neutral	neutral	neutral	neutral	2.3	3.0	2.0	2.0		文Aが不自然	
421_ni_o	ni	o	雪の積もった道路のわきに自転車を伴った二人の男性がいる	二人の男性が雪の積もった道路を歩くのを休んでいる	自転車を伴った二人の男性が雪の積もった道路のわきにいる	neutral	2.3	neutral	neutral	neutral	contradiction	3.3	4.0	2.0	4.0			
6378_ni_o	ni	o	サーフボードにサーファーが寄りかかっている	サーフボードに寄りかかっているサーファーは一人もいない	サーファーがサーフボードに寄りかかっている	contradiction	4	contradiction	contradiction	contradiction	contradiction	4.0	4.0	4.0	4.0			
8290_de_d	de	d	犬海辺走っている	海辺で走っている犬は一匹もいない	犬が海辺で走っている	contradiction	3.7	contradiction	contradiction	neutral	contradiction	3.7	4.0	3.0	4.0		文Aが不自然	文Aが不自然
6960_de_o	de	o	ステージで白い帽子をかぶった男性がギターを弾いている	白い帽子をかぶった男性がステージから下りている	白い帽子をかぶった男性がステージでギターを弾いている	neutral	3	neutral	contradiction	neutral	neutral	3.0	4.0	2.0	3.0			
6261_wo_o	wo	o	ビキニを二人の女性が着ていて砂の上を歩いている	二人の女性がビキニを着ていて、砂の上を歩いている	二人の女性がビキニを着ていて砂の上を歩いている	entailment	5	entailment	entailment	entailment	entailment	4.7	5.0	4.0	5.0			
5516_ni_o	ni	o	デジタルホワイトボードに男性が絵を描いている	男性がボードに絵を描いている	男性がデジタルホワイトボードに絵を描いている	entailment	4	entailment	entailment	entailment	entailment	4.3	5.0	4.0	4.0			
579_de_c	de	c	白と茶色の犬でやっとのことが水の中を歩いている	茶色と白の毛並みをしている犬が浅瀬を小走りに通っている	白と茶色の犬がやっとのことで水の中を歩いている	neutral	2.7	neutral	neutral	neutral	neutral	2.7	3.0	3.0	2.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
8765_wo_d	wo	d	子供黄色のジャケット着ていて、岩から跳び下りている	幼い子供が水の中に跳び込んでいる	子供が黄色のジャケットを着ていて、岩から跳び下りている	neutral	1.7	neutral	neutral	neutral	neutral	3.0	3.0	3.0	3.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
9962_wo_o	wo	o	ジャガイモの皮を一人の女性が剥いている	黄色の花が蜂にしがみつかれている	一人の女性がジャガイモの皮を剥いている	neutral	1	neutral	neutral	neutral	neutral	1.0	1.0	1.0	1.0			
231_wo_c	wo	c	三人のアジア人の子供たちをダンスがしていて、一人の真面目な男性が見ている	三人のアジア人の子供たちがダンスをしていて、一人の男性が見ている	三人のアジア人の子供たちがダンスをしていて、一人の真面目な男性が見ている	entailment	4.3	entailment	entailment	neutral	entailment	4.3	5.0	3.0	5.0		文Aが不自然	
610_wo_c	wo	c	十代の女の子を赤いビーズが保管している	薄茶色の髪をした若い女性が赤いネックレス、スウェットシャツ、そしてイヤリングを身に着けていて、微笑んでいる	十代の女の子が赤いビーズを保管している	neutral	1.5	neutral	neutral	neutral	neutral	1.0	1.0	1.0	1.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
8887_de_c	de	c	女性で街路が歩いている	女性が道路で歩いている	女性が街路で歩いている	entailment	3.7	neutral	neutral	neutral	neutral	3.0	4.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
325_wo_c	wo	c	男性をシルバーのセダンが指さしている	車を指さしている男性は一人もいない	男性がシルバーのセダンを指さしている	contradiction	3.3	neutral	neutral	neutral	neutral	2.3	3.0	2.0	2.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
8871_ni_c	ni	c	幼児に座席が座っている	幼児が腰を下ろしている	幼児が座席に座っている	entailment	4	neutral	neutral	neutral	neutral	3.0	4.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
4455_de_o	de	o	草原でサイは草を食べている	サイは草原で草を食べていない	サイは草原で草を食べている	contradiction	4	contradiction	contradiction	contradiction	contradiction	4.0	4.0	4.0	4.0			
5808_de_d	de	d	男性銃発砲している	男性が武器で発砲している	男性が銃で発砲している	entailment	4.3	entailment	entailment	neutral	entailment	4.0	4.0	3.0	5.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
2904_ni_d	ni	d	男性木水をやっている	男性が木を斧で切り倒している	男性が木に水をやっている	neutral	2	neutral	neutral	neutral	contradiction	2.3	3.0	2.0	2.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
1779_de_c	de	c	チータで野原が獲物に引き離されている	チーターが野原で獲物を追っている	チータが野原で獲物に引き離されている	neutral	3.5	neutral	neutral	neutral	neutral	3.0	4.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
8020_de_d	de	d	犬緑の草地の上眠っている	犬が緑の草地の上で遊んでいる	犬が緑の草地の上で眠っている	neutral	3.3	contradiction	contradiction	neutral	contradiction	2.7	4.0	2.0	2.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
1850_ni_c	ni	c	男性に一切れのガーリック風味のパンがぞんざいにバターを塗っている	男性は一切れのガーリック風味のパンにぞんざいにバターを塗っている	男性が一切れのガーリック風味のパンにぞんざいにバターを塗っている	entailment	5	neutral	neutral	neutral	neutral	3.0	4.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
2209_de_c	de	c	二人の子供でスイミングプールの中で緑色をしたワニの浮き袋が遊んでいる	二人の子供が空気注入式のワニをプールから引っぱり出している	二人の子供がスイミングプールの中で緑色をしたワニの浮き袋で遊んでいる	neutral	2.5	neutral	neutral	neutral	neutral	3.0	4.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
571_de_o	de	o	やっとのことで白と茶色の犬が水の中を歩いている	水の中をやっとのことでゆっくり歩いている白と茶色の犬は一匹もいない	白と茶色の犬がやっとのことで水の中を歩いている	contradiction	2.7	contradiction	contradiction	contradiction	contradiction	4.0	4.0	4.0	4.0			
1546_wo_d	wo	d	猫キーボード弾いている	男性が二台のキーボードを弾いている	猫がキーボードを弾いている	neutral	2.5	neutral	neutral	neutral	neutral	3.0	4.0	2.0	3.0	文Ａが不自然。助詞が抜けている。	文Aが不自然	文Aが不自然
7759_wo_c	wo	c	人々を街路の群衆の中が通り抜けている	人々が混雑した街路を通って歩いている	人々が街路の群衆の中を通り抜けている	neutral	3.7	neutral	neutral	neutral	neutral	3.0	4.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
7818_de_c	de	c	何匹かの犬で小川の中が遊んでいる	二匹の猫が水の中で飛沫を飛ばしている何かを見ている	何匹かの犬が小川の中で遊んでいる	neutral	2.3	neutral	neutral	neutral	neutral	1.3	2.0	1.0	1.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
3954_de_c	de	c	男の子で金属で作られたフェンスの上がバイクに乗っている	男の子は金属のフェンスの上でバイクに乗っている	男の子は金属で作られたフェンスの上でバイクに乗っている	entailment	5	neutral	neutral	neutral	neutral	3.0	4.0	2.0	3.0	文Ａの助詞が不自然。	文Aが不自然	文Aが不自然
5893_wo_o	wo	o	指の爪を女の子が軽くたたいている	大きな犬が地面の上を走っている	女の子が指の爪を軽くたたいている	neutral	1.3	neutral	neutral	neutral	neutral	1.0	1.0	1.0	1.0		文Aが不自然	
